A_var,A_org_id,A_descricao,v_code,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,agreement,majority_strength
FLMORTOM,11.19,Filhas mortas - mulher,V0340,V0340,Filhas Tidas Nascidas Vivas que já morreram (Mulheres),V0340,Filhas Tidas Nascidas Vivas que já morreram (Mulheres),Y,N,12/12_UNANIMOUS,HIGH
FLNAMORH,11.20,Filhos nascidos mortos - homem,V0341,V0341,Filhos Tidos Nascidos Mortos (Homens),V0341,Filhos Tidos Nascidos Mortos (Homens),Y,N,12/12_UNANIMOUS,HIGH
FLNAMORM,11.21,Filhas nascidas mortas - mulher,V0342,V0342,Filhas Tidas Nascidas Mortas (Mulheres),V0342,Filhas Tidas Nascidas Mortas (Mulheres),Y,N,12/12_UNANIMOUS,HIGH
FLNAMORT,11.22,Total filhos nascidos mortos,V3357,V3357,Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),V3357,Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),Y,N,12/12_UNANIMOUS,HIGH
FLNAODOH,11.23,Filhos nao moram domicilio,V0337,V0337,Filhos Tidos que moram em outro domicílio (Homens),V0337,Filhos Tidos que moram em outro domicílio (Homens),Y,N,12/12_UNANIMOUS,HIGH
FLNAODOM,11.24,Filhas nao moram domicilio,V0338,V0338,Filhas Tidas que moram em outro domicílio (Mulheres),V0338,Filhas Tidas que moram em outro domicílio (Mulheres),Y,N,12/12_UNANIMOUS,HIGH
FLNAVIVH,11.25,Filhos nascidos vivos - homem,V3355,V3355,Número de Filhos Tidos Nascidos Vivos(Homens),V3355,Número de Filhos Tidos Nascidos Vivos(Homens),Y,N,12/12_UNANIMOUS,HIGH
FLNAVIVM,11.26,Filhas nascidas vivas - mulher,V3356,V3356,Número de Filhas Tidas Nascidas Vivas (Mulheres),V3356,Número de Filhas Tidas Nascidas Vivas (Mulheres),Y,N,12/12_UNANIMOUS,HIGH
FLNAVIVT,11.27,Total filhos nascidos vivos,V3354,V3354,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),V3354,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),Y,N,12/12_UNANIMOUS,HIGH
FLTIDOSH,11.28,Filhos tidos - homem,V3352,V3352,Número de Filhos Tidos (Homens),V3352,Número de Filhos Tidos (Homens),Y,N,12/12_UNANIMOUS,HIGH
FLTIDOSM,11.29,Filhas tidas - mulher,V3353,V3353,Número de Filhos Tidos (Mulheres),V3353,Número de Filhos Tidos (Mulheres),Y,N,12/12_UNANIMOUS,HIGH
FLTIDOST,11.30,Total filhos tidos,V3351,V3351,Total de Filhos(as) Tidos(as),V3351,Total de Filhos(as) Tidos(as),Y,N,12/12_UNANIMOUS,HIGH
FLVIVOSH,11.31,Filhos vivos - homem,V3361,V3361,Número de Filhos Vivos (Homens),V3361,Número de Filhos Vivos (Homens),Y,N,12/12_UNANIMOUS,HIGH
FLVIVOSM,11.32,Filhas vivas - mulher,V3362,V3362,Número de Filhas Vivas (Mulheres),V3362,Número de Filhas Vivas (Mulheres),Y,N,12/12_UNANIMOUS,HIGH
FLVIVOST,11.33,Total filhos vivos,V3360,V3360,Total de Filhos(as) Vivos(as),V3360,Total de Filhos(as) Vivos(as),Y,N,12/12_UNANIMOUS,HIGH
FREEZER,9.20,Freezer,V0225,V0225,Freezer,V0225,Freezer,Y,Y,12/12_UNANIMOUS,HIGH
GELADEIR,9.21,Geladeira,V0222,V0222,Geladeira,V0222,Geladeira,Y,Y,12/12_UNANIMOUS,HIGH
HOROUTR,11.34,Horas trabalhadas em outras ocupacões,V0355,V0355,Horas Trabalhadas em Outras Ocupações,V0355,Horas Trabalhadas em Outras Ocupações,Y,N,12/12_UNANIMOUS,HIGH
HORTRAB,11.35,Horas trabalhadas ocupacao Q346,V0354,V0354,Horas Trabalhadas por Semana na Ocupação Principal,V0354,Horas Trabalhadas por Semana na Ocupação Principal,Y,N,12/12_UNANIMOUS,HIGH
IDADEANO,11.36,Idade em anos,V3072,V3072,Idade (em anos completos),V3072,Idade (em anos completos),Y,N,12/12_UNANIMOUS,HIGH
IDADEMES,11.37,Idade em meses,V3073,V3073,Idade (em meses completos),V3073,Idade (em meses completos),Y,N,12/12_UNANIMOUS,HIGH
IDADETIP,11.38,Tipo de idade,V3071,V3071,Tipo de Idade,V3071,Tipo de Idade,Y,N,12/12_UNANIMOUS,HIGH
ILUMINA,9.22,Iluminacao,V0221,V0221,Iluminação,V0221,Iluminação,Y,Y,12/12_UNANIMOUS,HIGH
LIXO,9.23,Destino do lixo,V0214,V0214,Destino do Lixo,V0214,Destino do Lixo,Y,Y,12/12_UNANIMOUS,HIGH
LOCALIZA,9.24,Localizacao,V0202,V0202,Localização,V0202,Localização,Y,Y,12/12_UNANIMOUS,HIGH
LOCTRAB,11.39,Local de trabalho,V0352,V0352,Local de Trabalho,V0352,Local de Trabalho,Y,N,12/12_UNANIMOUS,HIGH
MAQLAVAR,9.25,Maquina lavar roupa,V0226,V0226,Máquina de Lavar Roupa,V0226,Máquina de Lavar Roupa,Y,Y,12/12_UNANIMOUS,HIGH
MESONOM,31,Nome da Mesorregiao,(empty),,,,,N,N,12/12_UNANIMOUS,CANNOT_MAP
MESONUM,32,Codigo da Mesorregiao,V7001,V7001,Mesorregião,V7001,Mesorregião,Y,Y,12/12_UNANIMOUS,HIGH
METROP,52,Codigo da area metropolitana,V7003,V7003,Região Metropolitana,V7003,Regiao metropolitana,Y,Y,12/12_UNANIMOUS,HIGH
MIANMOMU,11.40,Anos que mora no municipio,V0318,V0318,Anos em que mora no Município,V0318,Anos em que mora no Município,Y,N,12/12_UNANIMOUS,HIGH
MIANMOUF,11.41,Anos que mora na UF,V0317,V0317,Anos em que mora na Unidade da Federação,V0317,Anos em que mora na Unidade da Federação,Y,N,12/12_UNANIMOUS,HIGH
MIANORES,11.42,Ano fixou residencia,V3152,V3152,Ano que fixou residência no País,V3152,Ano que fixou residência no País,Y,N,12/12_UNANIMOUS,HIGH
MIANTEMU,11.43,Municipio moradia anterior,V3191,V3191,Município ou País Estrangeiro em que morava em 01/09/1986 (declarado no quesito 319),V3191,Município ou País Estrangeiro em que morava em 01/09/1986 (declarado no quesito 319),Y,N,12/12_UNANIMOUS,HIGH
MIANTEUF,11.44,Lugar de moradia anterior,V0319,V0319,Unidade da Federação e Município ou País Estrangeiro que morava antes,V0319,Unidade da Federação e Município ou País Estrangeiro que morava antes,Y,N,12/12_UNANIMOUS,HIGH
MIANTEZN,11.45,Zona moradia anterior,V0320,V0320,Situação do Domicílio de Residência Anterior (declarado no quesito 319),V0320,Situação do Domicílio de Residência Anterior (declarado no quesito 319),Y,N,12/12_UNANIMOUS,HIGH
MICRONOM,41,Nome da Microrregiao,(empty),,,,,N,N,12/12_UNANIMOUS,CANNOT_MAP
MICRONUM,42,Codigo da Microrregiao,V7002,V7002,Microrregião,V7002,Microrregião,Y,Y,12/12_UNANIMOUS,HIGH
MIMO86MU,11.46,Municipio moradia em 86,V3211,V3211,Município ou País Estrangeiro de residência em 01/09/1986 (declarado no quesito 321),V3211,Município ou País Estrangeiro de residência em 01/09/1986 (declarado no quesito 321),Y,N,12/12_UNANIMOUS,HIGH
MIMO86UF,11.47,Lugar de moradia em 01/09/86,V0321,V0321,Unidade da Federação e Município ou País Estrangeiro em que morava em 01/09/1986,V0321,Unidade da Federação e Município ou País Estrangeiro em que morava em 01/09/1986,Y,N,12/12_UNANIMOUS,HIGH
MIMO86ZN,11.48,Zona de moradia em 86,V0322,V0322,Situação do Domicílio de Residência em 01/09/86 (declarado no quesito 321),V0322,Situação do Domicílio de Residência em 01/09/86 (declarado no quesito 321),Y,N,12/12_UNANIMOUS,HIGH
MIMUMOZN,11.49,Zona que morou neste municipio,V0312,V0312,Morou neste Município,V0312,Morou neste Município,Y,N,12/12_UNANIMOUS,HIGH
