Ano,Variável,Label,Descrição,População a qual se aplica,Observação,Categorias
1991,V3562,Faixas de Rendimento Nominal Total,Faixas de Rendimento Nominal Total,populationToApply,,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos ou (VAR0345) = código 3"
1991,V3563,Faixas de Rendimento Real Total,Faixas de Rendimento Real Total,populationToApply,,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos ou (VAR0345) = código 3"
1991,V3564,Faixas de Rendimento da Ocupação Principal,Faixas de Rendimento da Ocupação Principal,populationToApply,,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos ou (VAR345) = código 3"
1991,V0357,Rendimento Bruto de Outras Ocupações,Rendimento Bruto de Outras Ocupações,populationToApply,,"Campo numérico, sem categorias"
1991,V3574,Faixas de Rendimento de Outras Ocupações,Faixas de Rendimento de Outras Ocupações,populationToApply,,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos ou (VAR345) = código 3"
1991,V0358,Condição de Atividade,Condição de Atividade,populationToApply,,"0- Sem ocupação
1- Procurando trabalho - Já trabalhou
2- Procurando trabalho - Nunca trabalhou
3- Aposentado
4- Pensionista
5- Vive de Rendas
6- Detento
7- Estudante
8- Doente ou Inválido
9- Afazeres Domésticos
- Pessoas com menos de 10 anos ou (VAR345) = código 1 ou 2"
1991,V0359,Aposentado ou Pensionista,Aposentado ou Pensionista,populationToApply,,"0- Não é
1- Aposentado
2- Pensionista
3- Aposentado e Pensionista
- Pessoas com menos de 10 anos"
1991,V0360,Rendimento Bruto de Aposentadoria e/ou Pensão,Rendimento Bruto de Aposentadoria e/ou Pensão,populationToApply,,"Campo numérico, sem categorias"
1991,V3604,Faixas de Rendimento de Aposentadoria e/ou Pensão,Faixas de Rendimento de Aposentadoria e/ou Pensão,populationToApply,,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos"
1991,V0361,Rendimento Bruto ou Média Mensal de Outros Rendimentos,Rendimento Bruto ou Média Mensal de Outros Rendimentos,populationToApply,,"Campo numérico, sem categorias"
1991,V3614,Faixas de Outros Rendimentos,Faixas de Outros Rendimentos,populationToApply,,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos"
1991,V3351,Total de Filhos(as) Tidos(as),Total de Filhos(as) Tidos(as),populationToApply,,"Campo numérico, sem categorias"
1991,V3352,Número de Filhos Tidos (Homens),Número de Filhos Tidos (Homens),populationToApply,,"Campo numérico, sem categorias"
1991,V3353,Número de Filhos Tidos (Mulheres),Número de Filhos Tidos (Mulheres),populationToApply,,"Campo numérico, sem categorias"
1991,V3354,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),populationToApply,,"Campo numérico, sem categorias"
1991,V3355,Número de Filhos Tidos Nascidos Vivos(Homens),Número de Filhos Tidos Nascidos Vivos(Homens),populationToApply,,"Campo numérico, sem categorias"
1991,V3356,Número de Filhas Tidas Nascidas Vivas (Mulheres),Número de Filhas Tidas Nascidas Vivas (Mulheres),populationToApply,,"Campo numérico, sem categorias"
1991,V3360,Total de Filhos(as) Vivos(as),Total de Filhos(as) Vivos(as),populationToApply,,"Campo numérico, sem categorias"
