A_var,A_org_id,A_descricao,A_tipo,A_categories
RELIGIAO,11.64,Codigo da religiao,INTEGER,0=Sem religiao | 11=Catolica Apostolica Romana | 12=Catolica Apostolica Brasileira | 13=Catolica Ortodoxa | 21=Evangelica Tradiconal Luterana | 22=Evangelica Tradiconal Prebisteriana | 23=Evangelica Tradiconal Metodista | 24=Evangelica Tradiconal Batista | 25=Evangelica Tradiconal Congregacional | 26=Evangelica Tradiconal Adventista | 27=Evangelica Tradiconal Episcopal Anglicana | 28=Evangelica Tradiconal Menonita | 29=Evangelica Tradiconal não determinada | 30=Evangelica Tradiconal outras | 31=Evangelica Pentecostal Assembleia de Deus | 32=Evangelica Pentecostal Congregação Cristã do Brasil | 33=Evangelica Pentecostal O Brasil para Cristo | 34=Evangelica Pentecostal Evangelho Quadrangular | 35=Evangelica Pentecostal Universal do Reino de Deus | 36=Evangelica Pentecostal Casa da Benção | 37=Evangelica Pentecostal Casa da Oração | 38=Evangelica Pentecostal Deus é Amor | 39=Evangelica Pentecostal Maranata | 40=Evangelica Pentecostal Tradicional Renovada | 41=Evangelica Pentecostal não determinada | 45=Evangelica Pentecostal Outras | 49=Evangelica não determinada | 51=Neo-Cristã Normon | 52=Neo-Cristã Testemunha de Jeova | 53=Neo-Cristã LBV | 59=Neo-Cristã outra | 61=Mediunica Espirita | 62=Mediunica Umbandista | 63=Mediunica candobleccista | 71=Judaica ou Israelita | 75=Oriental budista | 76=Oriental Messianica | 77=Oriental Seicho No-Ie | 79=Oriental outras | 81=Outras - Islamismo | 82=Outras - Esoterica | 83=Outras - Indigena | 84=Outras - grupo minoritarios | 85=não determinada ou mal definidas - Cristã | 86=não determinada ou mal definidas - Crente | 89=não determinada ou mal definidas - Outras | 99=Sem declaracao
ROUTOCUF,11.65,Faixa renda outras ocupacoes,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salario minimo | 3=Mais de 0,5 a 0,75 salário mínimo | 4=Mais de 0,75 a 1 salário mínimo | 5=Mais de 1 a 1,25 salarios minimos | 6=Mais de 1,25 a 1,5 salarios minimos | 7=Mais de 1,5 a 2 salarios minimos | 8=Mais de 2 a 3 salarios minimos | 9=Mais de 3 a 5 salarios minimos | 10=Mais de 5 a 10 salarios minimos | 11=Mais de 10 a 15 salarios minimos | 12=Mais de 15 a 20 salarios minimos | 13=Maos de 20 salarios minimos | 14=Sem rendimento | 15=Sem declaracao | 0=NSA"
ROUTOCUV,11.66,Rend bruto outras ocupacoes,INTEGER,9999998=NSA | 9999999=Ignorado
ROUTRENF,11.67,Faixa outros rendimentos,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salario minimo | 4=Mais de 0,75 a 1 salário mínimo | 5=Mais de 1 a 1,25 salarios minimos | 6=Mais de 1,25 a 1,5 salarios minimos | 7=Mais de 1,5 a 2 salarios minimos | 8=Mais de 2 a 3 salarios minimos | 9=Mais de 3 a 5 salarios minimos | 10=Mais de 5 a 10 salarios minimos | 11=Mais de 10 a 15 salarios minimos | 12=Mais de 15 a 20 salarios minimos | 13=Mais de 20 salarios minimos | 14=Sem rendimento | 15=Sem declaracao | 0=NSA"
ROUTRENV,11.68,Valor outros rendimentos,INTEGER,9999998=NSA | 9999999=Ignorado
RPRINCIF,11.69,Faixa renda ocupação principal,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salario minimo | 3=Mais de 0,5 a 0,75 salário mínimo | 4=Mais de 0,75 a 1 salário mínimo | 5=Mais de 1 a 1,25 salarios minimos | 6=Mais de 1,25 a 1,5 salarios minimos | 7=Mais de 1,5 a 2 salarios minimos | 8=Mais de 2 a 3 salarios minimos | 9=Mais de 3 a 5 salarios minimos | 10=Mais de 5 a 10 salarios minimos | 11=Mais de 10 a 15 salarios minimos | 12=Mais de 15 a 20 salarios minimos | 13=Mais de 20 salarios minimos | 14=Sem rendimento | 15=Sem declaracao | 0=NSA"
RPRINCIV,11.70,Rendimento bruto ocupacao principal,INTEGER,9999998=NSA | 9999999=Ignorado
RTONOMIF,11.71,Faixa renda total nominal,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salario minimo | 3=Mais de 0,5 a 0,75 salário mínimo | 4=Mais de 0,75 a 1 salário mínimo | 5=Mais de 1 a 1,25 salarios minimos | 6=Mais de 1,25 a 1,5 salarios minimos | 7=Mais de 1,5 a 2 salarios minimos | 8=Mais de 2 a 3 salarios minimos | 9=Mais de 3 a 5 salarios minimos | 10=Mais de 5 a 10 salarios minimos | 11=Mais de 10 a 15 salarios minimos | 12=Mais de 15 a 20 salarios minimos | 13=Mais de 20 salarios minimos | 14=Sem rendimento | 15=Sem declaracao | 0=NSA"
RTOREALF,11.72,Faixa renda real pessoal,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salario minimo | 3=Mais de 0,5 a 0,75 salário mínimo | 4=Mais de 0,75 a 1 salário mínimo | 5=Mais de 1 a 1,25 salarios minimos | 6=Mais de 1,25 a 1,5 salarios minimos | 7=Mais de 1,5 a 2 salarios minimos | 8=Mais de 2 a 3 salarios minimos | 9=Mais de 3 a 5 salarios minimos | 10=Mais de 5 a 10 salarios minimos | 11=Mais de 10 a 15 salarios minimos | 12=Mais de 15 a 20 salarios minimos | 13=Mais de 20 salarios minimos | 14=Sem rendimento | 15=Sem declaracao | 0=NSA"
RTOTALPV,11.73,Renda total,INTEGER,99999998=NSA | 99999999=Ignorado
SCATUAL,11.74,Situacao conjugal atual,INTEGER,"1=Casado em 1ªuniao | 2=Casado outra uniao | 3=Casada com numero de uniões ignorado | 4=Separado, divorciada, desquitada ou viuvo | 5=Solteiro | 0=NSA"
SCDURASC,11.75,Duracao sit. conjugal atual,INTEGER,99=Ignorado | 100=NSA
SCID1UNI,11.76,Idade ao contrair 1ªuniao,INTEGER,99=Ignorada/Nao lembra | 0=NSA
SCIDISCA,11.77,Idade inicio sit.conj.atual,INTEGER,99=Ignorada/Nao lembra | 0=NSA
SCNAOUNI,11.78,Nao vive com conjuge,INTEGER,5=Separado não judicialmente | 6=Desquitado ou separado judicialmente | 7=Divorciado(a) | 8=Viuvo(a) | 9=Ignorado | 0=NSA
SCNATUNI,11.79,Natureza da uniao,INTEGER,1=Casamento civil e religioso | 2=So casamento civil | 3=So casamento religioso | 4=Uniao consensual | 9=Ignorado | 0=NSA
SCVIVCON,11.80,Vive ou viveu com conjuge,INTEGER,1=Sim | 2=Nao | 0=NSA
SEXO,11.81,Sexo,INTEGER,1=Masculino | 2=Feminino
SITDESO,11.82,Situacao desocupado,INTEGER,0=Sem ocupacao | 1=Procurando trabalho - ja trabalhou | 2=Procurando trabalho - nunca trabalhou | 3=Aposentado | 4=Pensionista | 5=Vive de rendas | 6=Detento | 7=Estudante | 8=Doente ou invalido | 9=Afazeres domesticos | 10=NSA
TRUL12M,11.83,Trabalhou ultimos 12 meses,INTEGER,1=Habitualmente | 2=Eventualmente | 3=Nao trabalhou | 0=NSA
UVIVIDAD,11.84,Idade calculada do ult.filho nasc.vivo,INTEGER,0=Menos 1 ano | 99=Ignorado | 100=NSA
UVIVIDTP,11.85,Tipo idade ult.filho nasc vivo,INTEGER,1=Idade presumida | 2=Idade declarada | 9=Idade ignorada | 0=NSA
UVIVSEXO,11.86,Sexo ultimo filho nascido vivo,INTEGER,1=Homem | 2=Mulher | 7=Nao teve | 9=Ignorado | 0=NSA
